League,Season,Team,Top_Scorer,Top_Scorer_Goals
PL,2015/2016,Arsenal,Olivier Giroud ,16
PL,2015/2016,Aston Villa,Jordan Ayew,7
PL,2015/2016,Bournemouth,Matt Ritchie,6
PL,2015/2016,Chelsea,Diego Costa,12
PL,2015/2016,Crystal Palace ,Yohan Cabaye,5
PL,2015/2016,Everton,Romelu Lukaku,18
PL,2015/2016,Leicester City,Jamie Vardy,24
PL,2015/2016,Liverpool,Roberto Firmino,10
PL,2015/2016,Manchester City,Sergio Agüero,24
PL,2015/2016,Manchester United,Anthony Martial,11
PL,2015/2016,Newcastle United,Georginio Wijnaldum,11
PL,2015/2016,Norwich City ,Dieumerci Mbokani,7
PL,2015/2016,Southampton,Sadio Mané,11
PL,2015/2016,Stoke City,Marko Arnautovic,11
PL,2015/2016,Sunderland,Jermain Defoe,15
PL,2015/2016,Swansea City,André Ayew,12
PL,2015/2016,Tottenham Hotspur,Harry Kane,25
PL,2015/2016,Watford ,Odion Ighalo,15
PL,2015/2016,West Bromwich Albion,Salomón Rondón,9
PL,2015/2016,West Ham United ,Dimitri Payet,9
La Liga,2015/2016,Athletic Club,Aritz Aduriz,20
La Liga,2015/2016,Atlético Madrid ,Antoine Griezmann,22
La Liga,2015/2016,FC Barcelona,Luis Suárez,40
La Liga,2015/2016,Celta de Vigo,Iago Aspas,14
La Liga,2015/2016,Deportivo La Coruña,Lucas Pérez,17
La Liga,2015/2016,SD Eibar ,Borja Bastón,18
La Liga,2015/2016,Espanyol,Felipe Caicedo,8
La Liga,2015/2016,Getafe CF,Pablo Sarabia,7
La Liga,2015/2016,Granada CF,Youssed El Arabi ,15
La Liga,2015/2016,UD Las Palmas ,Jonathan Viera,10
La Liga,2015/2016,Levante UD,Miku,9
La Liga,2015/2016,Málaga CF,Charles,12
La Liga,2015/2016,Rayo Vallecano ,Javi Guerra,12
La Liga,2015/2016,Real Betis,Rubén Castro,19
La Liga,2015/2016,Real Madrid CF,Cristiano Ronaldo,35
La Liga,2015/2016,Real Sociedad,Imanol Agirretxe,13
La Liga,2015/2016,Sevilla FC,Kévin Gameiro,16
La Liga,2015/2016,Sporting Gijón,Antonio Sanabria ,11
La Liga,2015/2016,Valencia CF,Paco Alácer ,13
La Liga,2015/2016,Villarreal CF,Cédric Bakambu,12
Serie A,2015/2016,Atalanta,Mario Mandžukić,10
Serie A,2015/2016,Bologna,Mattia Destro,8
Serie A,2015/2016,Carpi,Kevin Lasagna,5
Serie A,2015/2016,Chievo ,Alberto Paloschi,8
Serie A,2015/2016,Empoli,Massimo Maccarone ,13
Serie A,2015/2016,Fiorentina,Josip Ilicic ,13
Serie A,2015/2016,Frosinone,Federico Dionisi,9
Serie A,2015/2016,Genoa,Leonardo Pavoletti ,14
Serie A,2015/2016,Inter ,Mauro Icardi ,16
Serie A,2015/2016,Juventus,Paulo Dybala,19
Serie A,2015/2016,Lazio,Miroslav Klose,7
Serie A,2015/2016,AC Milan,Carlos Bacca,18
Serie A,2015/2016,Napoli,Gonzalo Higuaín,39
Serie A,2015/2016,Palermo,Franco Vázquez ,8
Serie A,2015/2016,Roma,Mohamed Salah ,14
Serie A,2015/2016,Sampdoria,Éder,12
Serie A,2015/2016,Sassuolo,Grégoire Defrel,7
Serie A,2015/2016,Torino,Andrea Belotti,12
Serie A,2015/2016,Udinese,Cyril Théréau ,11
Serie A,2015/2016,Hellas Verona,Valter Birsa,6
